,ACCOUNTANT,ADVOCATE,AGRICULTURE,APPAREL,ARTS,AUTOMOBILE,AVIATION,BANKING,BPO,BUSINESS-DEVELOPMENT,CHEF,CONSTRUCTION,CONSULTANT,DESIGNER,DIGITAL-MEDIA,ENGINEERING,FINANCE,FITNESS,HEALTHCARE,HR,INFORMATION-TECHNOLOGY,PUBLIC-RELATIONS,SALES,TEACHER
ACCOUNTANT,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ADVOCATE,0,14,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,1,2,0
AGRICULTURE,0,2,6,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0
APPAREL,0,3,0,3,0,0,0,0,0,4,0,0,0,2,0,1,0,0,0,1,0,1,4,0
ARTS,0,0,0,0,9,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,5
AUTOMOBILE,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AVIATION,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,1,0
BANKING,1,2,0,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
BPO,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
BUSINESS-DEVELOPMENT,1,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CHEF,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,1,0,0,0,2,2
CONSTRUCTION,0,1,0,0,0,0,0,1,0,1,0,17,0,1,0,1,0,0,0,0,0,0,0,0
CONSULTANT,3,2,0,0,0,0,0,1,0,5,0,0,5,0,1,0,0,0,1,0,2,2,1,0
DESIGNER,0,0,0,1,0,0,1,0,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0
DIGITAL-MEDIA,0,1,0,0,0,0,1,1,0,2,0,0,1,1,10,0,0,0,0,0,1,1,0,0
ENGINEERING,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18,0,0,0,0,3,0,0,1
FINANCE,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
FITNESS,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,17,0,0,0,1,2,2
HEALTHCARE,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,17,0,1,0,0,0
HR,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0
INFORMATION-TECHNOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
PUBLIC-RELATIONS,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,17,1,0
SALES,0,0,0,1,1,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,15,0
TEACHER,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,15
